I,X,Y,Z
79,594378.5,1669138.5,2013
80,594378.5,1669133.5,2006
81,594378.5,1669128.5,2006
82,594378.5,1669123.5,2006
83,594378.5,1669118.5,2000
84,594378.5,1669113.5,2000
85,594378.5,1669108.5,2000
86,594378.5,1669103.5,1994
87,594378.5,1669098.5,1994
88,594378.5,1669093.5,1994
89,594378.5,1669088.5,1990
90,594378.5,1669083.5,1990
91,594378.5,1669078.5,1990
92,594378.5,1669073.5,1985
93,594378.5,1669068.5,1985
94,594378.5,1669063.5,1985
95,594378.5,1669058.5,1985
96,594378.5,1669053.5,1980
97,594378.5,1669048.5,1980
98,594378.5,1669043.5,1980
99,594378.5,1669038.5,1975
100,594378.5,1669033.5,1975
101,594378.5,1669028.5,1975
102,594378.5,1669023.5,1969
103,594378.5,1669018.5,1969
104,594378.5,1669013.5,1969
105,594378.5,1669008.5,1961
106,594378.5,1669003.5,1961
107,594378.5,1668998.5,1961
108,594378.5,1668993.5,1955
109,594378.5,1668988.5,1955
110,594378.5,1668983.5,1955
111,594378.5,1668978.5,1948
112,594378.5,1668973.5,1948
113,594378.5,1668968.5,1948
114,594378.5,1668963.5,1941
115,594378.5,1668958.5,1941
116,594378.5,1668953.5,1941
117,594378.5,1668948.5,1936
118,594378.5,1668943.5,1936
119,594378.5,1668938.5,1936
120,594378.5,1668933.5,1931
121,594378.5,1668928.5,1931
122,594378.5,1668923.5,1931
123,594378.5,1668918.5,1925
124,594378.5,1668913.5,1925
125,594378.5,1668908.5,1925
126,594378.5,1668903.5,1920
127,594378.5,1668898.5,1920
128,594378.5,1668893.5,1920
129,594378.5,1668888.5,1920
130,594378.5,1668883.5,1920
131,594378.5,1668878.5,1920
132,594378.5,1668873.5,1914
133,594378.5,1668868.5,1914
134,594378.5,1668863.5,1914
135,594378.5,1668858.5,1907
136,594378.5,1668853.5,1907
137,594378.5,1668848.5,1907
138,594378.5,1668843.5,1897
139,594378.5,1668838.5,1897
140,594378.5,1668833.5,1897
141,594378.5,1668828.5,1882
142,594378.5,1668823.5,1882
143,594378.5,1668818.5,1882
144,594378.5,1668813.5,1864
145,594378.5,1668808.5,1864
146,594378.5,1668803.5,1864
147,594378.5,1668798.5,1846
148,594378.5,1668793.5,1846
149,594378.5,1668788.5,1846
150,594378.5,1668783.5,1828
151,594378.5,1668778.5,1828
152,594378.5,1668773.5,1828
153,594378.5,1668768.5,1810
154,594378.5,1668763.5,1810
155,594378.5,1668758.5,1810
156,594378.5,1668753.5,1793
157,594378.5,1668748.5,1793
158,594378.5,1668743.5,1793
159,594378.5,1668738.5,1776
160,594378.5,1668733.5,1776
161,594378.5,1668728.5,1776
162,594378.5,1668723.5,1764
163,594378.5,1668718.5,1764
164,594378.5,1668713.5,1764
165,594378.5,1668708.5,1753
166,594378.5,1668703.5,1753
167,594378.5,1668698.5,1753
168,594378.5,1668693.5,1743
169,594378.5,1668688.5,1743
170,594378.5,1668683.5,1743
171,594378.5,1668678.5,1732
172,594378.5,1668673.5,1732
173,594378.5,1668668.5,1732
174,594378.5,1668663.5,1721
175,594378.5,1668658.5,1721
176,594378.5,1668653.5,1721
177,594378.5,1668648.5,1709
178,594378.5,1668643.5,1709
179,594378.5,1668638.5,1709
180,594378.5,1668633.5,1699
181,594378.5,1668628.5,1699
182,594378.5,1668623.5,1699
183,594378.5,1668618.5,1691
184,594378.5,1668613.5,1691
185,594378.5,1668608.5,1691
186,594378.5,1668603.5,1682
187,594378.5,1668598.5,1682
188,594378.5,1668593.5,1682
189,594378.5,1668588.5,1674
190,594378.5,1668583.5,1674
191,594378.5,1668578.5,1674
192,594383.5,1669533.5,2189
193,594383.5,1669528.5,2189
194,594383.5,1669523.5,2181
195,594383.5,1669518.5,2181
196,594383.5,1669513.5,2181
197,594383.5,1669508.5,2174
198,594383.5,1669503.5,2174
199,594383.5,1669498.5,2174
200,594383.5,1669493.5,2167
201,594383.5,1669488.5,2167
202,594383.5,1669483.5,2167
203,594383.5,1669478.5,2161
204,594383.5,1669473.5,2161
205,594383.5,1669468.5,2161
206,594383.5,1669463.5,2154
207,594383.5,1669458.5,2154
208,594383.5,1669453.5,2154
209,594383.5,1669448.5,2145
210,594383.5,1669443.5,2145
211,594383.5,1669438.5,2145
212,594383.5,1669433.5,2133
213,594383.5,1669428.5,2133
214,594383.5,1669423.5,2133
215,594383.5,1669418.5,2121
216,594383.5,1669413.5,2121
217,594383.5,1669408.5,2121
218,594383.5,1669403.5,2110
219,594383.5,1669398.5,2110
220,594383.5,1669393.5,2110
221,594383.5,1669388.5,2100
222,594383.5,1669383.5,2100
223,594383.5,1669378.5,2100
224,594383.5,1669373.5,2089
225,594383.5,1669368.5,2089
226,594383.5,1669363.5,2089
227,594383.5,1669358.5,2080
228,594383.5,1669353.5,2080
229,594383.5,1669348.5,2080
230,594383.5,1669343.5,2073
231,594383.5,1669338.5,2073
232,594383.5,1669333.5,2073
233,594383.5,1669328.5,2068
234,594383.5,1669323.5,2068
235,594383.5,1669318.5,2068
236,594383.5,1669313.5,2064
237,594383.5,1669308.5,2064
238,594383.5,1669303.5,2064
239,594383.5,1669298.5,2060
240,594383.5,1669293.5,2060
241,594383.5,1669288.5,2060
242,594383.5,1669283.5,2056
243,594383.5,1669278.5,2056
244,594383.5,1669273.5,2056
245,594383.5,1669268.5,2053
246,594383.5,1669263.5,2053
247,594383.5,1669258.5,2053
248,594383.5,1669253.5,2049
249,594383.5,1669248.5,2049
250,594383.5,1669243.5,2049
251,594383.5,1669238.5,2044
252,594383.5,1669233.5,2044
253,594383.5,1669228.5,2044
254,594383.5,1669223.5,2038
255,594383.5,1669218.5,2038
256,594383.5,1669213.5,2038
257,594383.5,1669208.5,2032
258,594383.5,1669203.5,2032
259,594383.5,1669198.5,2032
260,594383.5,1669193.5,2026
261,594383.5,1669188.5,2026
262,594383.5,1669183.5,2026
263,594383.5,1669178.5,2021
264,594383.5,1669173.5,2021
265,594383.5,1669168.5,2021
266,594383.5,1669163.5,2016
267,594383.5,1669158.5,2016
268,594383.5,1669153.5,2016
269,594383.5,1669148.5,2011
270,594383.5,1669143.5,2011
271,594383.5,1669138.5,2011
272,594383.5,1669133.5,2005
273,594383.5,1669128.5,2005
274,594383.5,1669123.5,2005
275,594383.5,1669118.5,2000
276,594383.5,1669113.5,2000
277,594383.5,1669108.5,2000
278,594383.5,1669103.5,1995
279,594383.5,1669098.5,1995
280,594383.5,1669093.5,1995
281,594383.5,1669088.5,1990
282,594383.5,1669083.5,1990
283,594383.5,1669078.5,1990
284,594383.5,1669073.5,1986
285,594383.5,1669068.5,1986
286,594383.5,1669063.5,1986
287,594383.5,1669058.5,1986
288,594383.5,1669053.5,1982
289,594383.5,1669048.5,1982
290,594383.5,1669043.5,1982
291,594383.5,1669038.5,1978
292,594383.5,1669033.5,1978
293,594383.5,1669028.5,1978
294,594383.5,1669023.5,1972
295,594383.5,1669018.5,1972
296,594383.5,1669013.5,1972
297,594383.5,1669008.5,1964
298,594383.5,1669003.5,1964
299,594383.5,1668998.5,1964
300,594383.5,1668993.5,1958
301,594383.5,1668988.5,1958
302,594383.5,1668983.5,1958
303,594383.5,1668978.5,1951
304,594383.5,1668973.5,1951
305,594383.5,1668968.5,1951
306,594383.5,1668963.5,1944
307,594383.5,1668958.5,1944
308,594383.5,1668953.5,1944
309,594383.5,1668948.5,1938
310,594383.5,1668943.5,1938
311,594383.5,1668938.5,1938
312,594383.5,1668933.5,1931
313,594383.5,1668928.5,1931
314,594383.5,1668923.5,1931
315,594383.5,1668918.5,1924
316,594383.5,1668913.5,1924
317,594383.5,1668908.5,1924
318,594383.5,1668903.5,1919
319,594383.5,1668898.5,1919
320,594383.5,1668893.5,1919
321,594383.5,1668888.5,1919
322,594383.5,1668883.5,1919
323,594383.5,1668878.5,1919
324,594383.5,1668873.5,1914
325,594383.5,1668868.5,1914
326,594383.5,1668863.5,1914
327,594383.5,1668858.5,1907
328,594383.5,1668853.5,1907
329,594383.5,1668848.5,1907
330,594383.5,1668843.5,1898
331,594383.5,1668838.5,1898
332,594383.5,1668833.5,1898
333,594383.5,1668828.5,1884
334,594383.5,1668823.5,1884
335,594383.5,1668818.5,1884
336,594383.5,1668813.5,1868
337,594383.5,1668808.5,1868
338,594383.5,1668803.5,1868
339,594383.5,1668798.5,1852
340,594383.5,1668793.5,1852
341,594383.5,1668788.5,1852
342,594383.5,1668783.5,1836
343,594383.5,1668778.5,1836
344,594383.5,1668773.5,1836
345,594383.5,1668768.5,1819
346,594383.5,1668763.5,1819
347,594383.5,1668758.5,1819
348,594383.5,1668753.5,1802
349,594383.5,1668748.5,1802
350,594383.5,1668743.5,1802
351,594383.5,1668738.5,1786
352,594383.5,1668733.5,1786
353,594383.5,1668728.5,1786
354,594383.5,1668723.5,1773
355,594383.5,1668718.5,1773
356,594383.5,1668713.5,1773
357,594383.5,1668708.5,1762
358,594383.5,1668703.5,1762
359,594383.5,1668698.5,1762
360,594383.5,1668693.5,1752
361,594383.5,1668688.5,1752
362,594383.5,1668683.5,1752
363,594383.5,1668678.5,1741
364,594383.5,1668673.5,1741
365,594383.5,1668668.5,1741
366,594383.5,1668663.5,1729
367,594383.5,1668658.5,1729
368,594383.5,1668653.5,1729
369,594383.5,1668648.5,1718
370,594383.5,1668643.5,1718
371,594383.5,1668638.5,1718
372,594383.5,1668633.5,1707
373,594383.5,1668628.5,1707
374,594383.5,1668623.5,1707
375,594383.5,1668618.5,1698
376,594383.5,1668613.5,1698
377,594383.5,1668608.5,1698
378,594383.5,1668603.5,1688
379,594383.5,1668598.5,1688
380,594383.5,1668593.5,1688
381,594383.5,1668588.5,1678
382,594383.5,1668583.5,1678
383,594383.5,1668578.5,1678
384,594388.5,1669533.5,2189
385,594388.5,1669528.5,2189
386,594388.5,1669523.5,2181
387,594388.5,1669518.5,2181
388,594388.5,1669513.5,2181
389,594388.5,1669508.5,2174
390,594388.5,1669503.5,2174
391,594388.5,1669498.5,2174
392,594388.5,1669493.5,2167
393,594388.5,1669488.5,2167
394,594388.5,1669483.5,2167
395,594388.5,1669478.5,2161
396,594388.5,1669473.5,2161
397,594388.5,1669468.5,2161
398,594388.5,1669463.5,2154
399,594388.5,1669458.5,2154
400,594388.5,1669453.5,2154
401,594388.5,1669448.5,2145
402,594388.5,1669443.5,2145
403,594388.5,1669438.5,2145
404,594388.5,1669433.5,2133
405,594388.5,1669428.5,2133
406,594388.5,1669423.5,2133
407,594388.5,1669418.5,2121
408,594388.5,1669413.5,2121
409,594388.5,1669408.5,2121
410,594388.5,1669403.5,2110
411,594388.5,1669398.5,2110
412,594388.5,1669393.5,2110
413,594388.5,1669388.5,2100
414,594388.5,1669383.5,2100
415,594388.5,1669378.5,2100
416,594388.5,1669373.5,2089
417,594388.5,1669368.5,2089
418,594388.5,1669363.5,2089
419,594388.5,1669358.5,2080
420,594388.5,1669353.5,2080
421,594388.5,1669348.5,2080
422,594388.5,1669343.5,2073
423,594388.5,1669338.5,2073
424,594388.5,1669333.5,2073
425,594388.5,1669328.5,2068
426,594388.5,1669323.5,2068
427,594388.5,1669318.5,2068
428,594388.5,1669313.5,2064
429,594388.5,1669308.5,2064
430,594388.5,1669303.5,2064
431,594388.5,1669298.5,2060
432,594388.5,1669293.5,2060
433,594388.5,1669288.5,2060
434,594388.5,1669283.5,2056
435,594388.5,1669278.5,2056
436,594388.5,1669273.5,2056
437,594388.5,1669268.5,2053
438,594388.5,1669263.5,2053
439,594388.5,1669258.5,2053
440,594388.5,1669253.5,2049
441,594388.5,1669248.5,2049
442,594388.5,1669243.5,2049
443,594388.5,1669238.5,2044
444,594388.5,1669233.5,2044
445,594388.5,1669228.5,2044
446,594388.5,1669223.5,2038
447,594388.5,1669218.5,2038
448,594388.5,1669213.5,2038
449,594388.5,1669208.5,2032
450,594388.5,1669203.5,2032
451,594388.5,1669198.5,2032
452,594388.5,1669193.5,2026
453,594388.5,1669188.5,2026
454,594388.5,1669183.5,2026
455,594388.5,1669178.5,2021
456,594388.5,1669173.5,2021
457,594388.5,1669168.5,2021
458,594388.5,1669163.5,2016
459,594388.5,1669158.5,2016
460,594388.5,1669153.5,2016
461,594388.5,1669148.5,2011
462,594388.5,1669143.5,2011
463,594388.5,1669138.5,2011
464,594388.5,1669133.5,2005
465,594388.5,1669128.5,2005
466,594388.5,1669123.5,2005
467,594388.5,1669118.5,2000
468,594388.5,1669113.5,2000
469,594388.5,1669108.5,2000
470,594388.5,1669103.5,1995
471,594388.5,1669098.5,1995
472,594388.5,1669093.5,1995
473,594388.5,1669088.5,1990
474,594388.5,1669083.5,1990
475,594388.5,1669078.5,1990
476,594388.5,1669073.5,1986
477,594388.5,1669068.5,1986
478,594388.5,1669063.5,1986
479,594388.5,1669058.5,1986
480,594388.5,1669053.5,1982
481,594388.5,1669048.5,1982
482,594388.5,1669043.5,1982
483,594388.5,1669038.5,1978
484,594388.5,1669033.5,1978
485,594388.5,1669028.5,1978
486,594388.5,1669023.5,1972
487,594388.5,1669018.5,1972
488,594388.5,1669013.5,1972
489,594388.5,1669008.5,1964
490,594388.5,1669003.5,1964
491,594388.5,1668998.5,1964
492,594388.5,1668993.5,1958
493,594388.5,1668988.5,1958
494,594388.5,1668983.5,1958
495,594388.5,1668978.5,1951
496,594388.5,1668973.5,1951
497,594388.5,1668968.5,1951
498,594388.5,1668963.5,1944
499,594388.5,1668958.5,1944
500,594388.5,1668953.5,1944
501,594388.5,1668948.5,1938
502,594388.5,1668943.5,1938
503,594388.5,1668938.5,1938
504,594388.5,1668933.5,1931
505,594388.5,1668928.5,1931
506,594388.5,1668923.5,1931
507,594388.5,1668918.5,1924
508,594388.5,1668913.5,1924
509,594388.5,1668908.5,1924
510,594388.5,1668903.5,1919
511,594388.5,1668898.5,1919
512,594388.5,1668893.5,1919
513,594388.5,1668888.5,1919
514,594388.5,1668883.5,1919
515,594388.5,1668878.5,1919
516,594388.5,1668873.5,1914
517,594388.5,1668868.5,1914
518,594388.5,1668863.5,1914
519,594388.5,1668858.5,1907
520,594388.5,1668853.5,1907
521,594388.5,1668848.5,1907
522,594388.5,1668843.5,1898
523,594388.5,1668838.5,1898
524,594388.5,1668833.5,1898
525,594388.5,1668828.5,1884
526,594388.5,1668823.5,1884
527,594388.5,1668818.5,1884
528,594388.5,1668813.5,1868
529,594388.5,1668808.5,1868
530,594388.5,1668803.5,1868
531,594388.5,1668798.5,1852
532,594388.5,1668793.5,1852
533,594388.5,1668788.5,1852
534,594388.5,1668783.5,1836
535,594388.5,1668778.5,1836
536,594388.5,1668773.5,1836
537,594388.5,1668768.5,1819
538,594388.5,1668763.5,1819
539,594388.5,1668758.5,1819
540,594388.5,1668753.5,1802
541,594388.5,1668748.5,1802
542,594388.5,1668743.5,1802
543,594388.5,1668738.5,1786
544,594388.5,1668733.5,1786
545,594388.5,1668728.5,1786
546,594388.5,1668723.5,1773
547,594388.5,1668718.5,1773
548,594388.5,1668713.5,1773
549,594388.5,1668708.5,1762
550,594388.5,1668703.5,1762
551,594388.5,1668698.5,1762
552,594388.5,1668693.5,1752
553,594388.5,1668688.5,1752
554,594388.5,1668683.5,1752
555,594388.5,1668678.5,1741
556,594388.5,1668673.5,1741
557,594388.5,1668668.5,1741
558,594388.5,1668663.5,1729
559,594388.5,1668658.5,1729
560,594388.5,1668653.5,1729
561,594388.5,1668648.5,1718
562,594388.5,1668643.5,1718
563,594388.5,1668638.5,1718
564,594388.5,1668633.5,1707
565,594388.5,1668628.5,1707
566,594388.5,1668623.5,1707
567,594388.5,1668618.5,1698
568,594388.5,1668613.5,1698
569,594388.5,1668608.5,1698
570,594388.5,1668603.5,1688
571,594388.5,1668598.5,1688
572,594388.5,1668593.5,1688
573,594388.5,1668588.5,1678
574,594388.5,1668583.5,1678
575,594388.5,1668578.5,1678
576,594393.5,1669533.5,2189
577,594393.5,1669528.5,2189
578,594393.5,1669523.5,2181
579,594393.5,1669518.5,2181
580,594393.5,1669513.5,2181
581,594393.5,1669508.5,2174
582,594393.5,1669503.5,2174
583,594393.5,1669498.5,2174
584,594393.5,1669493.5,2167
585,594393.5,1669488.5,2167
586,594393.5,1669483.5,2167
587,594393.5,1669478.5,2161
588,594393.5,1669473.5,2161
589,594393.5,1669468.5,2161
590,594393.5,1669463.5,2154
591,594393.5,1669458.5,2154
592,594393.5,1669453.5,2154
593,594393.5,1669448.5,2145
594,594393.5,1669443.5,2145
595,594393.5,1669438.5,2145
596,594393.5,1669433.5,2133
597,594393.5,1669428.5,2133
598,594393.5,1669423.5,2133
599,594393.5,1669418.5,2121
600,594393.5,1669413.5,2121
601,594393.5,1669408.5,2121
602,594393.5,1669403.5,2110
603,594393.5,1669398.5,2110
604,594393.5,1669393.5,2110
605,594393.5,1669388.5,2100
606,594393.5,1669383.5,2100
607,594393.5,1669378.5,2100
608,594393.5,1669373.5,2089
609,594393.5,1669368.5,2089
610,594393.5,1669363.5,2089
611,594393.5,1669358.5,2080
612,594393.5,1669353.5,2080
613,594393.5,1669348.5,2080
614,594393.5,1669343.5,2073
615,594393.5,1669338.5,2073
616,594393.5,1669333.5,2073
617,594393.5,1669328.5,2068
618,594393.5,1669323.5,2068
619,594393.5,1669318.5,2068
620,594393.5,1669313.5,2064
621,594393.5,1669308.5,2064
622,594393.5,1669303.5,2064
623,594393.5,1669298.5,2060
624,594393.5,1669293.5,2060
625,594393.5,1669288.5,2060
626,594393.5,1669283.5,2056
627,594393.5,1669278.5,2056
628,594393.5,1669273.5,2056
629,594393.5,1669268.5,2053
630,594393.5,1669263.5,2053
631,594393.5,1669258.5,2053
632,594393.5,1669253.5,2049
633,594393.5,1669248.5,2049
634,594393.5,1669243.5,2049
635,594393.5,1669238.5,2044
636,594393.5,1669233.5,2044
637,594393.5,1669228.5,2044
638,594393.5,1669223.5,2038
639,594393.5,1669218.5,2038
640,594393.5,1669213.5,2038
641,594393.5,1669208.5,2032
642,594393.5,1669203.5,2032
643,594393.5,1669198.5,2032
644,594393.5,1669193.5,2026
645,594393.5,1669188.5,2026
646,594393.5,1669183.5,2026
647,594393.5,1669178.5,2021
648,594393.5,1669173.5,2021
649,594393.5,1669168.5,2021
650,594393.5,1669163.5,2016
651,594393.5,1669158.5,2016
652,594393.5,1669153.5,2016
653,594393.5,1669148.5,2011
654,594393.5,1669143.5,2011
655,594393.5,1669138.5,2011
656,594393.5,1669133.5,2005
657,594393.5,1669128.5,2005
658,594393.5,1669123.5,2005
659,594393.5,1669118.5,2000
660,594393.5,1669113.5,2000
661,594393.5,1669108.5,2000
662,594393.5,1669103.5,1995
663,594393.5,1669098.5,1995
664,594393.5,1669093.5,1995
665,594393.5,1669088.5,1990
666,594393.5,1669083.5,1990
667,594393.5,1669078.5,1990
668,594393.5,1669073.5,1986
669,594393.5,1669068.5,1986
670,594393.5,1669063.5,1986
671,594393.5,1669058.5,1986
672,594393.5,1669053.5,1982
673,594393.5,1669048.5,1982
674,594393.5,1669043.5,1982
675,594393.5,1669038.5,1978
676,594393.5,1669033.5,1978
677,594393.5,1669028.5,1978
678,594393.5,1669023.5,1972
679,594393.5,1669018.5,1972
680,594393.5,1669013.5,1972
681,594393.5,1669008.5,1964
682,594393.5,1669003.5,1964
683,594393.5,1668998.5,1964
684,594393.5,1668993.5,1958
685,594393.5,1668988.5,1958
686,594393.5,1668983.5,1958
687,594393.5,1668978.5,1951
688,594393.5,1668973.5,1951
689,594393.5,1668968.5,1951
690,594393.5,1668963.5,1944
691,594393.5,1668958.5,1944
692,594393.5,1668953.5,1944
693,594393.5,1668948.5,1938
694,594393.5,1668943.5,1938
695,594393.5,1668938.5,1938
696,594393.5,1668933.5,1931
697,594393.5,1668928.5,1931
698,594393.5,1668923.5,1931
699,594393.5,1668918.5,1924
700,594393.5,1668913.5,1924
701,594393.5,1668908.5,1924
702,594393.5,1668903.5,1919
703,594393.5,1668898.5,1919
704,594393.5,1668893.5,1919
705,594393.5,1668888.5,1919
706,594393.5,1668883.5,1919
707,594393.5,1668878.5,1919
708,594393.5,1668873.5,1914
709,594393.5,1668868.5,1914
710,594393.5,1668863.5,1914
711,594393.5,1668858.5,1907
712,594393.5,1668853.5,1907
713,594393.5,1668848.5,1907
714,594393.5,1668843.5,1898
715,594393.5,1668838.5,1898
716,594393.5,1668833.5,1898
717,594393.5,1668828.5,1884
718,594393.5,1668823.5,1884
719,594393.5,1668818.5,1884
720,594393.5,1668813.5,1868
721,594393.5,1668808.5,1868
722,594393.5,1668803.5,1868
723,594393.5,1668798.5,1852
724,594393.5,1668793.5,1852
725,594393.5,1668788.5,1852
726,594393.5,1668783.5,1836
727,594393.5,1668778.5,1836
728,594393.5,1668773.5,1836
729,594393.5,1668768.5,1819
730,594393.5,1668763.5,1819
731,594393.5,1668758.5,1819
732,594393.5,1668753.5,1802
733,594393.5,1668748.5,1802
734,594393.5,1668743.5,1802
735,594393.5,1668738.5,1786
736,594393.5,1668733.5,1786
737,594393.5,1668728.5,1786
738,594393.5,1668723.5,1773
739,594393.5,1668718.5,1773
740,594393.5,1668713.5,1773
741,594393.5,1668708.5,1762
742,594393.5,1668703.5,1762
743,594393.5,1668698.5,1762
744,594393.5,1668693.5,1752
745,594393.5,1668688.5,1752
746,594393.5,1668683.5,1752
747,594393.5,1668678.5,1741
748,594393.5,1668673.5,1741
749,594393.5,1668668.5,1741
750,594393.5,1668663.5,1729
751,594393.5,1668658.5,1729
752,594393.5,1668653.5,1729
753,594393.5,1668648.5,1718
754,594393.5,1668643.5,1718
755,594393.5,1668638.5,1718
756,594393.5,1668633.5,1707
757,594393.5,1668628.5,1707
758,594393.5,1668623.5,1707
759,594393.5,1668618.5,1698
760,594393.5,1668613.5,1698
761,594393.5,1668608.5,1698
762,594393.5,1668603.5,1688
763,594393.5,1668598.5,1688
764,594393.5,1668593.5,1688
765,594393.5,1668588.5,1678
766,594393.5,1668583.5,1678
767,594393.5,1668578.5,1678
768,594398.5,1669533.5,2178
769,594398.5,1669528.5,2178
770,594398.5,1669523.5,2171
771,594398.5,1669518.5,2171
772,594398.5,1669513.5,2171
773,594398.5,1669508.5,2164
774,594398.5,1669503.5,2164
775,594398.5,1669498.5,2164
776,594398.5,1669493.5,2158
777,594398.5,1669488.5,2158
778,594398.5,1669483.5,2158
779,594398.5,1669478.5,2152
780,594398.5,1669473.5,2152
781,594398.5,1669468.5,2152
782,594398.5,1669463.5,2146
783,594398.5,1669458.5,2146
784,594398.5,1669453.5,2146
785,594398.5,1669448.5,2137
786,594398.5,1669443.5,2137
787,594398.5,1669438.5,2137
788,594398.5,1669433.5,2126
789,594398.5,1669428.5,2126
790,594398.5,1669423.5,2126
791,594398.5,1669418.5,2115
792,594398.5,1669413.5,2115
793,594398.5,1669408.5,2115
794,594398.5,1669403.5,2105
795,594398.5,1669398.5,2105
796,594398.5,1669393.5,2105
797,594398.5,1669388.5,2094
798,594398.5,1669383.5,2094
799,594398.5,1669378.5,2094
800,594398.5,1669373.5,2083
801,594398.5,1669368.5,2083
802,594398.5,1669363.5,2083
803,594398.5,1669358.5,2074
804,594398.5,1669353.5,2074
805,594398.5,1669348.5,2074
806,594398.5,1669343.5,2066
807,594398.5,1669338.5,2066
808,594398.5,1669333.5,2066
809,594398.5,1669328.5,2061
810,594398.5,1669323.5,2061
811,594398.5,1669318.5,2061
812,594398.5,1669313.5,2057
813,594398.5,1669308.5,2057
814,594398.5,1669303.5,2057
815,594398.5,1669298.5,2053
816,594398.5,1669293.5,2053
817,594398.5,1669288.5,2053
818,594398.5,1669283.5,2050
819,594398.5,1669278.5,2050
820,594398.5,1669273.5,2050
821,594398.5,1669268.5,2047
822,594398.5,1669263.5,2047
823,594398.5,1669258.5,2047
824,594398.5,1669253.5,2044
825,594398.5,1669248.5,2044
826,594398.5,1669243.5,2044
827,594398.5,1669238.5,2040
828,594398.5,1669233.5,2040
829,594398.5,1669228.5,2040
830,594398.5,1669223.5,2035
831,594398.5,1669218.5,2035
832,594398.5,1669213.5,2035
833,594398.5,1669208.5,2029
834,594398.5,1669203.5,2029
835,594398.5,1669198.5,2029
836,594398.5,1669193.5,2024
837,594398.5,1669188.5,2024
838,594398.5,1669183.5,2024
839,594398.5,1669178.5,2019
840,594398.5,1669173.5,2019
841,594398.5,1669168.5,2019
842,594398.5,1669163.5,2015
843,594398.5,1669158.5,2015
844,594398.5,1669153.5,2015
845,594398.5,1669148.5,2010
846,594398.5,1669143.5,2010
847,594398.5,1669138.5,2010
848,594398.5,1669133.5,2005
849,594398.5,1669128.5,2005
850,594398.5,1669123.5,2005
851,594398.5,1669118.5,2000
852,594398.5,1669113.5,2000
853,594398.5,1669108.5,2000
854,594398.5,1669103.5,1995
855,594398.5,1669098.5,1995
856,594398.5,1669093.5,1995
857,594398.5,1669088.5,1991
858,594398.5,1669083.5,1991
859,594398.5,1669078.5,1991
860,594398.5,1669073.5,1987
861,594398.5,1669068.5,1987
862,594398.5,1669063.5,1987
863,594398.5,1669058.5,1987
864,594398.5,1669053.5,1983
865,594398.5,1669048.5,1983
866,594398.5,1669043.5,1983
867,594398.5,1669038.5,1979
868,594398.5,1669033.5,1979
869,594398.5,1669028.5,1979
870,594398.5,1669023.5,1973
871,594398.5,1669018.5,1973
872,594398.5,1669013.5,1973
